categoria,paraula
mamífer,elefant
mamífer,ós
mamífer,tigre
mamífer,lleó
mamífer,porc
mamífer,cavall
mamífer,gat
mamífer,ovella
mamífer,ase
ocell,corb
ocell,pingüí
ocell,estruç
ocell,gallina
ocell,ànec
ocell,oca
ocell,pardal
ocell,gavina
peix,bacallà
peix,salmó
peix,tonyina
peix,rap
peix,llobarro
peix,lluç
peix,llenguado
peix,sardina
hortalissa,bleda
hortalissa,carxofa
hortalissa,albergínia
hortalissa,carabassa
hortalissa,ceba
hortalissa,col
hortalissa,escarola
hortalissa,espinac
fruita,cirera
fruita,albercoc
fruita,llima
fruita,mandarina
fruita,poma
fruita,plàtan
fruita,taronja
fruita,pera
fruita,meló
fruita,pruna
arbre,roure
arbre,olivera
arbre,alzina
arbre,pi
arbre,xiprer
arbre,avet
arbre,palmera
arbre,ametller
vehicle,tren
vehicle,automòbil
vehicle,camió
vehicle,carro
vehicle,vaixell
vehicle,avió
vehicle,tram
vehicle,bicicleta
vehicle,furgoneta
roba,samarreta
roba,camisa
roba,blusa
roba,vestit
roba,jaqueta
roba,faldilla
roba,cinturó
roba,barret
eina,martell
eina,tornavís
eina,cúter
eina,llima
eina,serra
eina,cisell
estri de cuina,olla
estri de cuina,colador
estri de cuina,paella
estri de cuina,ganivet
estri de cuina,morter
estri de cuina,pelador
estri de cuina,batedora
estri de cuina,bol
estri de cuina,ratllador
