category,word1,word2,word3,word4
: capital-país-1,Atenes,Grècia,Bagdad,Iraq
: capital-país-1,Atenes,Grècia,Bangkok,Tailàndia
: capital-país-1,Atenes,Grècia,Pequín,Xina
: capital-país-1,Atenes,Grècia,Berlín,Alemanya
: capital-país-1,Atenes,Grècia,Berna,Suïssa
: capital-país-1,Atenes,Grècia,Caire,Egipte
: capital-país-1,Atenes,Grècia,Canberra,Austràlia
: capital-país-1,Atenes,Grècia,Hanoi,Vietnam
: capital-país-1,Atenes,Grècia,Havana,Cuba
: capital-país-1,Atenes,Grècia,Hèlsinki,Finlàndia
: capital-país-1,Atenes,Grècia,Islamabad,Pakistan
: capital-país-1,Atenes,Grècia,Kabul,Afganistan
: capital-país-1,Atenes,Grècia,Londres,Anglaterra
: capital-país-1,Atenes,Grècia,Madrid,Espanya
: capital-país-1,Atenes,Grècia,Moscou,Rússia
: capital-país-1,Atenes,Grècia,Oslo,Noruega
: capital-país-1,Atenes,Grècia,Ottawa,Canadà
: capital-país-1,Atenes,Grècia,París,França
: capital-país-1,Atenes,Grècia,Roma,Itàlia
: capital-país-1,Atenes,Grècia,Estocolm,Suècia
: capital-país-1,Atenes,Grècia,Teheran,Iran
: capital-país-1,Atenes,Grècia,Tòquio,Japó
: capital-país-1,Bagdad,Iraq,Atenes,Grècia
: capital-país-1,Bagdad,Iraq,Bangkok,Tailàndia
: capital-país-1,Bagdad,Iraq,Pequín,Xina
: capital-país-1,Bagdad,Iraq,Berlín,Alemanya
: capital-país-1,Bagdad,Iraq,Berna,Suïssa
: capital-país-1,Bagdad,Iraq,Caire,Egipte
: capital-país-1,Bagdad,Iraq,Canberra,Austràlia
: capital-país-1,Bagdad,Iraq,Hanoi,Vietnam
: capital-país-1,Bagdad,Iraq,Havana,Cuba
: capital-país-1,Bagdad,Iraq,Hèlsinki,Finlàndia
: capital-país-1,Bagdad,Iraq,Islamabad,Pakistan
: capital-país-1,Bagdad,Iraq,Kabul,Afganistan
: capital-país-1,Bagdad,Iraq,Londres,Anglaterra
: capital-país-1,Bagdad,Iraq,Madrid,Espanya
: capital-país-1,Bagdad,Iraq,Moscou,Rússia
: capital-país-1,Bagdad,Iraq,Oslo,Noruega
: capital-país-1,Bagdad,Iraq,Ottawa,Canadà
: capital-país-1,Bagdad,Iraq,París,França
: capital-país-1,Bagdad,Iraq,Roma,Itàlia
: capital-país-1,Bagdad,Iraq,Estocolm,Suècia
: capital-país-1,Bagdad,Iraq,Teheran,Iran
: capital-país-1,Bagdad,Iraq,Tòquio,Japó
: capital-país-1,Bangkok,Tailàndia,Atenes,Grècia
: capital-país-1,Bangkok,Tailàndia,Bagdad,Iraq
: capital-país-1,Bangkok,Tailàndia,Pequín,Xina
: capital-país-1,Bangkok,Tailàndia,Berlín,Alemanya
: capital-país-1,Bangkok,Tailàndia,Berna,Suïssa
: capital-país-1,Bangkok,Tailàndia,Caire,Egipte
: capital-país-1,Bangkok,Tailàndia,Canberra,Austràlia
: capital-país-1,Bangkok,Tailàndia,Hanoi,Vietnam
: capital-país-1,Bangkok,Tailàndia,Havana,Cuba
: capital-país-1,Bangkok,Tailàndia,Hèlsinki,Finlàndia
: capital-país-1,Bangkok,Tailàndia,Islamabad,Pakistan
: capital-país-1,Bangkok,Tailàndia,Kabul,Afganistan
: capital-país-1,Bangkok,Tailàndia,Londres,Anglaterra
: capital-país-1,Bangkok,Tailàndia,Madrid,Espanya
: capital-país-1,Bangkok,Tailàndia,Moscou,Rússia
: capital-país-1,Bangkok,Tailàndia,Oslo,Noruega
: capital-país-1,Bangkok,Tailàndia,Ottawa,Canadà
: capital-país-1,Bangkok,Tailàndia,París,França
