word1,word2,score_avg,score_rescaled
Arafat,Jackson,-2.31,1.08
Arafat,pau,0.34,7.59
Arafat,terror,-0.4,5.76
Dimecres,notícies,-1.9,2.12
FBI,empremta,0.4,7.74
FBI,investigació,0.56,8.16
Harvard,Yale,1.08,9.41
Japonès,Americà,0.73,8.52
Jerusalem,Israel,0.7,8.48
Jerusalem,Palestí,0.66,8.38
Maradona,futbol,0.91,8.99
Mart,aigua,-0.08,6.54
Mart,científic,0.0,6.74
OPEP,oli,0.72,8.52
OPEP,país,-0.31,5.99
acord,somriu,-1.43,3.27
advocat,evidència,0.6,8.22
aigua,filtració,0.45,7.86
alcohol,química,0.54,8.08
amor,sexe,0.33,7.57
anunci,avís,0.68,8.42
anunci,esforç,-1.1,4.07
anunci,notícies,0.73,8.52
anunci,producció,-0.18,6.3
arma,secret,-0.79,4.8
armari,roba,0.74,8.58
arquitectura,segle,0.13,7.09
arranjament,allotjament,0.45,7.85
arribada,hotel,0.19,7.23
asil,manicomi,0.64,8.31
atmosfera,paisatge,-0.21,6.23
avió,cotxe,0.0,6.76
banc,diners,1.01,9.23
beisbol,temporada,0.21,7.28
benefici,avís,-0.33,5.93
benefici,pèrdua,0.87,8.89
beure,boca,0.84,8.82
beure,cotxe,-1.37,3.41
beure,mare,-1.02,4.25
beure,menjar,0.65,8.35
beure,orella,-2.37,0.96
bisbe,rabí,0.57,8.18
bosc,cementiri,-1.46,3.19
boxejar,ronda,0.66,8.36
campionat,torneig,0.83,8.77
canyó,paisatge,0.47,7.9
carrer,avinguda,0.81,8.73
carrer,bloc,0.51,8.01
carrer,lloc,0.43,7.8
carrer,nens,-0.33,5.94
cel·la,telèfon,-0.95,4.43
cementiri,bosc,-1.46,3.19
cent,percentatge,1.0,9.19
cinc,mes,-1.27,3.65
cogombre,patata,-0.41,5.75
començar,any,-0.08,6.56
començar,coincidència,-1.61,2.82
competència,preu,0.6,8.22
consumidor,confiança,0.47,7.9
consumidor,energia,0.3,7.49
costa,bosc,0.09,6.99
costa,turó,0.26,7.4
costa,vora,0.46,7.89
cotxe,automòbil,1.23,9.75
cotxe,vol,-0.76,4.88
crèdit,informació,0.4,7.75
crèdit,targeta,0.96,9.1
càlcul,computació,0.62,8.27
decoració,valor,-1.26,3.66
descobriment,espai,-0.24,6.16
desplegament,retirada,0.21,7.27
desplegament,sortida,0.04,6.86
dia,estiu,0.26,7.39
diari,associació,-1.93,2.04
diners,banc,0.77,8.63
diners,blanqueig,0.25,7.38
diners,dipòsit,0.62,8.27
diners,dòlar,0.93,9.02
diners,efectiu,0.93,9.02
diners,moneda,0.84,8.82
diners,operació,-0.47,5.59
diners,possessió,-0.09,6.53
diners,propietat,-0.17,6.32
diners,retirada,0.47,7.9
diners,riquesa,0.71,8.5
direcció,combinació,-0.5,5.52
discapacitat,mort,-0.25,6.12
