model,category,n,accuracy_pct,coverage_pct
wiki.ca,capital-país-1,506,0.00,100.0
wiki.ca,capital-país-2,3660,0.00,100.0
wiki.ca,familia,380,51.58,100.0
wiki.ca,gram1-adjectiu-a-adverbi,650,26.92,100.0
wiki.ca,gram10-masculi-femeni-plural,702,43.16,100.0
wiki.ca,gram2-antònims,506,32.41,100.0
wiki.ca,gram3-infinitiu-geruni,1056,67.52,100.0
wiki.ca,gram4-país-gentilici,1560,10.38,100.0
wiki.ca,gram5-gerundi-imperfet,1482,63.09,100.0
wiki.ca,gram6-plural,1332,49.40,100.0
wiki.ca,gram7-infinitiu-a-3a-singular,870,31.49,100.0
wiki.ca,gram8-infinitiu-a-1a-singular,812,1.85,100.0
wiki.ca,gram9-masculi-femeni,812,52.22,100.0
ft_skipg_d100,capital-país-1,506,75.69,100.0
ft_skipg_d100,capital-país-2,3660,51.58,100.0
ft_skipg_d100,familia,380,60.00,100.0
ft_skipg_d100,gram1-adjectiu-a-adverbi,650,20.31,100.0
ft_skipg_d100,gram10-masculi-femeni-plural,702,66.67,100.0
ft_skipg_d100,gram2-antònims,506,19.76,100.0
ft_skipg_d100,gram3-infinitiu-geruni,1056,65.25,100.0
ft_skipg_d100,gram4-país-gentilici,1560,84.74,100.0
ft_skipg_d100,gram5-gerundi-imperfet,1482,67.34,100.0
ft_skipg_d100,gram6-plural,1332,44.37,100.0
ft_skipg_d100,gram7-infinitiu-a-3a-singular,870,49.77,100.0
ft_skipg_d100,gram8-infinitiu-a-1a-singular,812,23.52,100.0
ft_skipg_d100,gram9-masculi-femeni,812,63.18,100.0
ft_cbow_d300,capital-país-1,506,18.38,100.0
ft_cbow_d300,capital-país-2,3660,11.04,100.0
ft_cbow_d300,familia,380,40.79,100.0
ft_cbow_d300,gram1-adjectiu-a-adverbi,650,35.69,100.0
ft_cbow_d300,gram10-masculi-femeni-plural,702,60.68,100.0
ft_cbow_d300,gram2-antònims,506,32.81,100.0
ft_cbow_d300,gram3-infinitiu-geruni,1056,72.82,100.0
ft_cbow_d300,gram4-país-gentilici,1560,57.63,100.0
ft_cbow_d300,gram5-gerundi-imperfet,1482,75.03,100.0
ft_cbow_d300,gram6-plural,1332,35.36,100.0
ft_cbow_d300,gram7-infinitiu-a-3a-singular,870,44.48,100.0
ft_cbow_d300,gram8-infinitiu-a-1a-singular,812,18.10,100.0
ft_cbow_d300,gram9-masculi-femeni,812,61.45,100.0
ours_all_300,capital-país-1,506,87.35,100.0
ours_all_300,capital-país-2,3660,67.76,100.0
ours_all_300,familia,380,58.68,100.0
ours_all_300,gram1-adjectiu-a-adverbi,650,22.46,100.0
ours_all_300,gram10-masculi-femeni-plural,702,68.52,100.0
ours_all_300,gram2-antònims,506,29.05,100.0
ours_all_300,gram3-infinitiu-geruni,1056,68.56,100.0
ours_all_300,gram4-país-gentilici,1560,89.29,100.0
ours_all_300,gram5-gerundi-imperfet,1482,72.87,100.0
ours_all_300,gram6-plural,1332,54.88,100.0
ours_all_300,gram7-infinitiu-a-3a-singular,870,51.38,100.0
ours_all_300,gram8-infinitiu-a-1a-singular,812,33.99,100.0
ours_all_300,gram9-masculi-femeni,812,64.90,100.0
ft_cbow_d50,capital-país-1,506,9.29,100.0
ft_cbow_d50,capital-país-2,3660,4.45,100.0
ft_cbow_d50,familia,380,30.53,100.0
ft_cbow_d50,gram1-adjectiu-a-adverbi,650,19.69,100.0
ft_cbow_d50,gram10-masculi-femeni-plural,702,44.02,100.0
ft_cbow_d50,gram2-antònims,506,26.88,100.0
ft_cbow_d50,gram3-infinitiu-geruni,1056,63.26,100.0
ft_cbow_d50,gram4-país-gentilici,1560,28.72,100.0
ft_cbow_d50,gram5-gerundi-imperfet,1482,54.25,100.0
